Dataset,Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
CM1,RF,0.8226050420168066,0.8238060282511226,0.8226050420168066,0.8218882360243904,0.7471639784946237,0.305,0.275,0.2815079365079365,0.09978494623655913,0.9002150537634408,0.391083787093761,272,30,31,11
CM1,SVM,0.7498319327731092,0.8523122171945701,0.7498319327731092,0.7847175477234966,0.7347150537634409,0.2787515262515262,0.6,0.37513538748832864,0.22881720430107527,0.7711827956989248,0.657866475830416,233,69,17,25
JM1,AdaBoost-DS,0.770513121306917,0.7697252147828364,0.770513121306917,0.7700210029919907,0.6776023258074191,0.3728289040684884,0.37010064935064935,0.37111119156284406,0.1395549886621315,0.8604450113378684,0.5164652609345979,6739,1093,1108,651
JM1,AdaBoost-LR,0.6997192170663886,0.7807992208276984,0.6997192170663886,0.7274971977333816,0.6641486143633014,0.32176283823609564,0.5741818181818182,0.4122836254615452,0.272089132587901,0.7279108674120989,0.6412523617278267,5701,2131,749,1010
JM1,AdaBoost-RF,0.7834437999652416,0.7864395895962016,0.7834437999652416,0.7848426083081558,0.7087525275162062,0.4130452836243811,0.4269545454545455,0.41964396602173143,0.13649164646701592,0.863508353532984,0.5705813074566043,6763,1069,1008,751
JM1,AdaBoost-SVM,0.6862693343760862,0.7828876601638903,0.6862693343760862,0.7174928623405182,0.6961005696907625,0.31481295537931464,0.60375,0.4136196941780959,0.2952007910443871,0.7047992089556129,0.6492170795434309,5520,2312,697,1062
JM1,Bagging-DS,0.7806273896419882,0.7802555664827346,0.7806273896419882,0.780336751443921,0.7049106525924732,0.40133381867046725,0.39967207792207793,0.40011832027690125,0.13381209763598925,0.8661879023640108,0.5457169414973457,6784,1048,1056,703
JM1,Bagging-LR,0.6941936044490788,0.7819206335433976,0.6941936044490788,0.7234765566549703,0.7061359001979219,0.31920315496259566,0.5878246753246753,0.41355516989395724,0.28192180128756483,0.7180781987124352,0.6457089895101378,5624,2208,725,1034
JM1,Bagging-RF,0.7874052832811957,0.7906685837174747,0.7874052832811957,0.7888819872059065,0.7536641105556208,0.4238051192582846,0.4394285714285714,0.4310513621872264,0.13444822373393803,0.8655517762660621,0.5818168710567689,6779,1053,986,773
JM1,Bagging-SVM,0.6888757820646507,0.7808609989704295,0.6888757820646507,0.7192476497432431,0.6576998315503989,0.31474772769824805,0.5906655844155845,0.4104994823012308,0.28907150024760864,0.7109284997523914,0.6445271709462306,5568,2264,720,1039
JM1,DS,0.7522679874869656,0.7651301451732792,0.7522679874869656,0.7581577552593419,0.5992840168105606,0.34544085348201337,0.39284415584415583,0.3673191867332,0.16700663982067923,0.8329933601793208,0.5329328720399213,6524,1308,1068,691
JM1,LR,0.6950271550225929,0.7820638859980036,0.6950271550225929,0.7241359628796828,0.7060681941811593,0.31991597859422816,0.5872564935064934,0.41400801170141105,0.2807730276018453,0.7192269723981546,0.6458302915466974,5633,2199,726,1033
JM1,RF,0.8064840762947515,0.7944428737084978,0.8064840762947515,0.7993737348897297,0.7561186715200834,0.46856621619770406,0.3882792207792208,0.4240264963503604,0.09959226027575782,0.9004077397242423,0.5420808060565984,7052,780,1076,683
JM1,SVM,0.6901269768856448,0.7810071306092222,0.6901269768856448,0.7202276604803932,0.7042842132113332,0.315574434807839,0.589525974025974,0.4109311668273691,0.28728431985821146,0.7127156801417885,0.6446033215882728,5582,2250,722,1037
KC1,AdaBoost-DS,0.8243403964456597,0.8264187189527672,0.8243403964456597,0.8245476728784521,0.7579355525594933,0.4379484261508023,0.44270833333333337,0.43662176719737966,0.1056497175141243,0.8943502824858758,0.5874212411868959,1583,187,181,144
KC1,AdaBoost-LR,0.7375165185691501,0.8356456653812897,0.7375165185691501,0.7685815613735408,0.7395137818866633,0.33324169615409366,0.6832386363636364,0.4472400283942373,0.25254237288135595,0.7474576271186442,0.7111807010673563,1323,447,103,222
KC1,AdaBoost-RF,0.8181362497151972,0.8285110164118027,0.8181362497151972,0.8226344336036547,0.7489259651600754,0.4239787676204084,0.4826704545454546,0.4502984786266703,0.12033898305084748,0.8796610169491526,0.6196509113803429,1557,213,168,157
KC1,AdaBoost-SVM,0.7227158806106175,0.8374418223902256,0.7227158806106175,0.757384832745744,0.7323887711864406,0.3234177868396148,0.7109848484848486,0.44383241491029884,0.27514124293785314,0.7248587570621469,0.7154044429212334,1283,487,94,231
KC1,Bagging-DS,0.8315128730918204,0.8347034896583466,0.8315128730918204,0.8320944633978989,0.7749414162814586,0.46485414765399324,0.47064393939393945,0.46306315358371075,0.10225988700564972,0.8977401129943503,0.6127190795064777,1589,181,172,153
KC1,Bagging-LR,0.7255616313511051,0.8386172766258732,0.7255616313511051,0.7598538340651066,0.8005981424413628,0.32625892561112213,0.7139204545454546,0.44731798589665894,0.27231638418079096,0.727683615819209,0.7194236730960663,1288,482,93,232
KC1,Bagging-RF,0.8171952608794714,0.8356949981357982,0.8171952608794714,0.8243794416985013,0.8161939843348742,0.43072004876273173,0.5291666666666666,0.47131541131935817,0.12994350282485875,0.8700564971751412,0.6495498323264834,1540,230,153,172
KC1,Bagging-SVM,0.7260378218272956,0.8398910479818504,0.7260378218272956,0.7603880332868342,0.7290503017462764,0.32752880770602044,0.7199810606060606,0.44981144525126293,0.2728813559322034,0.7271186440677966,0.7226334210968218,1287,483,91,234
