Dataset,Model,Fold,Train Size,Test Size,Train Size after SMOTE,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,ROC_AUC,Precision_defective,Recall_defective,F1_defective,PF,Specificity,G_measure,TN,FP,FN,TP
CM1,AdaBoost-DS,7,310,34,544,0.6176470588235294,0.7779586142757497,0.6176470588235294,0.6816130225675177,0.4583333333333334,0.09090909090909091,0.25,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.36363636363636365,20,10,3,1
CM1,AdaBoost-SVM,7,310,34,544,0.6176470588235294,0.8164188752424046,0.6176470588235294,0.6851211072664359,0.5708333333333333,0.15384615384615385,0.5,0.23529411764705882,0.36666666666666664,0.6333333333333333,0.5588235294117647,19,11,2,2
CM1,AdaBoost-LR,7,310,34,544,0.6764705882352942,0.8270169727970239,0.6764705882352942,0.7305956344802071,0.5708333333333333,0.18181818181818182,0.5,0.26666666666666666,0.3,0.7,0.5833333333333334,21,9,2,2
CM1,Bagging-RF,7,310,34,544,0.7058823529411765,0.7952488687782805,0.7058823529411765,0.7443977591036415,0.6291666666666667,0.125,0.25,0.16666666666666666,0.23333333333333334,0.7666666666666667,0.3770491803278689,23,7,3,1
CM1,Bagging-DS,7,310,34,544,0.6764705882352942,0.7895424836601306,0.6764705882352942,0.7239819004524888,0.7583333333333333,0.1111111111111111,0.25,0.15384615384615385,0.26666666666666666,0.7333333333333333,0.3728813559322034,22,8,3,1
CM1,Bagging-SVM,7,310,34,544,0.6470588235294118,0.82174688057041,0.6470588235294118,0.7081447963800905,0.5916666666666666,0.16666666666666666,0.5,0.25,0.3333333333333333,0.6666666666666666,0.5714285714285715,20,10,2,2
CM1,Bagging-LR,7,310,34,544,0.5882352941176471,0.8109243697478992,0.5882352941176471,0.661437908496732,0.65,0.14285714285714285,0.5,0.2222222222222222,0.4,0.6,0.5454545454545454,18,12,2,2
CM1,RF,8,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.6875,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,DS,8,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.4666666666666667,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,SVM,8,310,34,544,0.7352941176470589,0.8379084967320262,0.7352941176470589,0.774167009461127,0.7666666666666666,0.2222222222222222,0.5,0.3076923076923077,0.23333333333333334,0.7666666666666667,0.605263157894737,23,7,2,2
CM1,LR,8,310,34,544,0.7647058823529411,0.8438914027149321,0.7647058823529411,0.795518207282913,0.8416666666666668,0.25,0.5,0.3333333333333333,0.2,0.8,0.6153846153846154,24,6,2,2
CM1,AdaBoost-RF,8,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.6583333333333334,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,AdaBoost-DS,8,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.4666666666666667,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,AdaBoost-SVM,8,310,34,544,0.7941176470588235,0.9251336898395721,0.7941176470588235,0.8285608583055865,0.8166666666666667,0.36363636363636365,1.0,0.5333333333333333,0.23333333333333334,0.7666666666666667,0.8679245283018869,23,7,0,4
CM1,AdaBoost-LR,8,310,34,544,0.8529411764705882,0.934640522875817,0.8529411764705882,0.8745372274784039,0.8666666666666667,0.4444444444444444,1.0,0.6153846153846154,0.16666666666666666,0.8333333333333334,0.9090909090909091,25,5,0,4
CM1,Bagging-RF,8,310,34,544,0.8529411764705882,0.83617963314358,0.8529411764705882,0.84364237498278,0.6916666666666667,0.3333333333333333,0.25,0.2857142857142857,0.06666666666666667,0.9333333333333333,0.39436619718309857,28,2,3,1
CM1,Bagging-DS,8,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.8333333333333334,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,Bagging-SVM,8,310,34,544,0.6764705882352942,0.8270169727970239,0.6764705882352942,0.7305956344802071,0.6875,0.18181818181818182,0.5,0.26666666666666666,0.3,0.7,0.5833333333333334,21,9,2,2
CM1,Bagging-LR,8,310,34,544,0.7647058823529411,0.8808823529411764,0.7647058823529411,0.8020541549953315,0.8833333333333333,0.3,0.75,0.42857142857142855,0.23333333333333334,0.7666666666666667,0.7582417582417583,23,7,1,3
CM1,RF,9,310,34,544,0.8823529411764706,0.8584558823529411,0.8823529411764706,0.8646426312460467,0.6666666666666666,0.5,0.25,0.3333333333333333,0.03333333333333333,0.9666666666666667,0.3972602739726027,29,1,3,1
CM1,DS,9,310,34,544,0.7941176470588235,0.7685009487666035,0.7941176470588235,0.781099324975892,0.45,0.0,0.0,0.0,0.1,0.9,0.0,27,3,4,0
CM1,SVM,9,310,34,544,0.7941176470588235,0.8862745098039214,0.7941176470588235,0.8243521184697655,0.8333333333333333,0.3333333333333333,0.75,0.46153846153846156,0.2,0.8,0.7741935483870969,24,6,1,3
CM1,LR,9,310,34,544,0.8235294117647058,0.8925339366515838,0.8235294117647058,0.846638655462185,0.825,0.375,0.75,0.5,0.16666666666666666,0.8333333333333334,0.7894736842105262,25,5,1,3
CM1,AdaBoost-RF,9,310,34,544,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7791666666666666,0.5,0.5,0.5,0.06666666666666667,0.9333333333333333,0.6511627906976745,28,2,2,2
CM1,AdaBoost-DS,9,310,34,544,0.7941176470588235,0.7685009487666035,0.7941176470588235,0.781099324975892,0.45,0.0,0.0,0.0,0.1,0.9,0.0,27,3,4,0
CM1,AdaBoost-SVM,9,310,34,544,0.7058823529411765,0.8716577540106952,0.7058823529411765,0.7567873303167421,0.7458333333333333,0.25,0.75,0.375,0.3,0.7,0.7241379310344827,21,9,1,3
CM1,AdaBoost-LR,9,310,34,544,0.8235294117647058,0.8925339366515838,0.8235294117647058,0.846638655462185,0.8125,0.375,0.75,0.5,0.16666666666666666,0.8333333333333334,0.7894736842105262,25,5,1,3
CM1,Bagging-RF,9,310,34,544,0.8235294117647058,0.7720588235294118,0.8235294117647058,0.7969639468690702,0.6416666666666666,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,28,2,4,0
CM1,Bagging-DS,9,310,34,544,0.7941176470588235,0.8146044624746451,0.7941176470588235,0.8038107898526643,0.7291666666666666,0.2,0.25,0.2222222222222222,0.13333333333333333,0.8666666666666667,0.3880597014925373,26,4,3,1
CM1,Bagging-SVM,9,310,34,544,0.7941176470588235,0.8862745098039214,0.7941176470588235,0.8243521184697655,0.7666666666666666,0.3333333333333333,0.75,0.46153846153846156,0.2,0.8,0.7741935483870969,24,6,1,3
CM1,Bagging-LR,9,310,34,544,0.7647058823529411,0.8808823529411764,0.7647058823529411,0.8020541549953315,0.8083333333333333,0.3,0.75,0.42857142857142855,0.23333333333333334,0.7666666666666667,0.7582417582417583,23,7,1,3
